source-id	variable	other_conditions	treatment_dates	duration_months	unit	treatment mean_orig	treatment mean	control mean	treatment SD	control SD	treatment n	control n
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_nitrification	winter warming only(11.2006-4.2007)	Nov. 2006 - Fall 2007	5	ug/g dry soil	0.4 (ug/g dry soil)	0.4	0.22	4.17	0.569	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_nitrification	winter warming only	Nov. 2006 - growing season 2007	5	ug/g dry soil	3.92	3.92	1.39	2.8458	2.18178	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_nitrification	winter warming only	Nov. 2006 - winter 2008	10	ug/g dry soil	-4.35	-4.35	-1.22	0.72726	2.18178	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_nitrification	year-round warming	Nov. 2006 - growing season 2007	12	ug/g dry soil	0.75	0.75	1.39	7.96824	1.92882	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	net_nitrification	year-round warming	Nov. 2006 - winter 2008	17	ug/g dry soil	-0.7	-0.7	-1.22	1.80234	1.92882	10.0	10.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	net_nitrification	Deschampsia (incubation without plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	0.082 (ug N/g SOM/day)	0.082	0.196	0.18	0.2	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	net_nitrification	Deschampsia (incubation with plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-0.0623	-0.0623	-0.0048	0.088	0.029	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	net_nitrification	Calluna (incubation without plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-0.021	-0.021	-0.148	0.066	0.413	6.0	6.0
Andresen LC etal 2010_Plant nutrient mobilization in temperate heathland responds to elevated CO2, temperature and drought	net_nitrification	Calluna (incubation with plant)	Oct 2005 - Sep 2007	18	ug N/g SOM/day	-0.035	-0.035	-0.01	0.092	0.02	6.0	6.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	net_nitrification	P. asperata	Apr.2007 to Jul.2007	15	mg N/kg soil	0.34 (mg N/kg soil)	0.34	0.1	0.1118	0.02236	5.0	5.0
Yin H etal 2012_Nitrogen transformation in the rhizospheres of two subalpine coniferous species under experimental warming	net_nitrification	A. faxoniana	Apr.2007 to Jul.2008	15	mg N/kg soil	0.67	0.67	0.17	0.31304	0.04472	5.0	5.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	A. faxoniana	April 2007 to May 2010	37		0.464	0.464	0.299	0.059	0.046	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	A. faxoniana 	April 2007 to Jul 2010	39		0.553	0.553	0.251	0.142	0.096	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	A. faxoniana 	April 2007 to Sep 2010	41		0.503	0.503	0.299	0.183	0.046	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	P. asperata 	April 2007 to May 2010	37		0.352	0.352	0.251	0.155	0.073	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	P. asperata 	April 2007 to Jul 2010	39		0.594	0.594	0.343	0.078	0.059	4.0	4.0
Yin HJ etal 2012_Effects of experimental warming on soil N transformations of two coniferous species, Eastern Tibetan Plateau, China	net_nitrification	P. asperata 	April 2007 to Sep 2010	41		0.576	0.576	0.373	0.114	0.059	4.0	4.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1991	5	net NO3N/gsoil/day	Net 1.82 NO3N/gsoil/day	1.82	1.35	0.710140831	0.185393679	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1992	17	net NO3N/gsoil/day	2.11	2.11	2.07	0.939148551	0.271347096	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1994	41	net NO3N/gsoil/day	0.52	0.52	0.93	0.223606798	0.108760285	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1991	5	net NO3N/gsoil/day	1.14	1.14	1.31	0.121243557	0.142762186	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1992	17	net NO3N/gsoil/day	1.43	1.43	1.41	0.849705831	0.341064112	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1994	41	net NO3N/gsoil/day	0.93	0.93	1.07	0.559016994	0.119627902	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1991	5	gross NO3N/gsoil/day	Gross 1.88 NO3N/gsoil/day	1.88	2.01	0.051961524	0.047869648	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Aug.1991	7	gross NO3N/gsoil/day	0.64	0.64	0.28	0.467653718	0.027354085	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1992	17	gross NO3N/gsoil/day	1.32	1.32	1.19	1.02859127	0.436103802	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Aug.1992	19	gross NO3N/gsoil/day	1.66	1.66	0.91	1.453444185	0.31345307	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Jun.1994	41	gross NO3N/gsoil/day	1.78	1.78	2	1.94537914	0.530012026	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	xeric site	Jan.1991-Aug.1994	43	gross NO3N/gsoil/day	1.34	1.34	0.88	1.274558747	0.496743972	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1991	5	gross NO3N/gsoil/day	3.24	3.24	1.38	4.867062769	1.279562392	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Aug.1991	7	gross NO3N/gsoil/day	0.23	0.23	0.48	0.311769145	0.122839841	3.0	3.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1992	17	gross NO3N/gsoil/day	2.03	2.03	2.41	2.772724292	1.015741458	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Aug.1992	19	gross NO3N/gsoil/day	0.53	0.53	0.72	0.670820393	0.212949427	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Jun.1994	41	gross NO3N/gsoil/day	2.52	2.52	2.85	1.609968944	1.649499171	5.0	5.0
Shaw MR etal 2001_Response of nitrogen cycling to simulated climate change: differential responses along a subalpine ecotone	net_nitrification	mesic site	Jan.1991-Aug.1994	43	gross NO3N/gsoil/day	1.13	1.13	0.9	1.00623059	0.341057556	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_nitrification	1994-1995  under Calluna	 Jun.199-Jun.1995	12	g m-2 year-1	0.663958 g m-2 year-1	0.663958	0.696878	0.534386706	0.790208535	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_nitrification	1994-1995  under  Vaccinium	 Jun.199-Jun.1995	12	g m-2 year-1	0.0898181	0.0898181	0.0910339	0.113182829	0.177351719	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_nitrification	1995-1996  under Calluna	 Jun.199-Jun.1996	24	g m-2 year-1	0.971511	0.971511	0.479321	0.999385986	0.545953885	5.0	5.0
Verburg PSJ etal 2000_Nitrogen transformations in a forested catchment in southern Norway subjected to elevated temperature and CO2	net_nitrification	1995-1996  under  Vaccinium	 Jun.199-Jun.1996	24	g m-2 year-1	0.10021	0.10021	0.0502978	0.13302592	0.045517623	5.0	5.0
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	net_nitrification	1994-1995(four incubation periods)	 Jun.199-Jun.1995	12		1.65312	1.65312	0.216983	1.446330933	0.343970428	10.0	10.0
Verburg PSJ etal 1999_The CLIMEX soil-heating experiment soil response after 2 years of treatment	net_nitrification	1995-1996	 Jun.199-Jun.1996	24		2.10935	2.10935	0.147523	2.096843071	0.181340812	10.0	10.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_nitrification	polar semi-desert  	1991-1993	24	net mg/m2	244.618(mg/m2,net nitrification)	244.618	185.486	206.7932726	72.33833108	6.0	6.0
Robinson CH etal 1995_Responses of plant litter decomposition and nitrogen mineralisation to simulated environmental change in a high arctic polar semi-desert and a subarctic dwarf shrub heath	net_nitrification	subarctic dwarf shrub heath	1991-1993	24	net mg/m2	-51.0874	-51.0874	10.7341	90.8286	12.1158	4.0	4.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	plant_Norleaf_N	2-year old dragon spruce seedlings	Apr.2009-Sep.2009	5	g/kg	10.26 (g/kg)	10.26	9.77	2.5	5.61	6.0	1.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	plant_Norleaf_N	8-year-old dragon spruce seedlings	Apr.2009-Sep.2009	5	g/kg	10.9	10.9	9.93	1.9	4.65	6.0	1.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	plant_Norleaf_N	2-year old dragon spruce seedlings	Apr.2009-Sep.2009	5	g/kg	11.26	11.26	10.23	2.76	7.27	6.0	1.0
Xu Z etal 2012_Short-term responses of Picea asperata seedlings of different ages grown in two contrasting forest ecosystems to experimental warming	plant_Norleaf_N	8-year-old dragon spruce seedlings	Apr.2009-Sep.2009	5	g/kg	11.85	11.85	10.6	1.71	5.04	6.0	1.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2003	1	%	2.0098 (%)	2.0098	1.9981	0.1305024	0.1566656	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2004	13	%	2.058	2.058	1.85956	0.1567328	0.1305024	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2005	25	%	1.95448	1.95448	1.72102	0.1305696	0.1565984	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2006	37	%	2.15447	2.15447	1.87431	0.1567104	0.1828736	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2007	49	%	2.20267	2.20267	1.92252	0.1567104	0.1827616	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2008	61	%	2.19254	2.19254	1.90071	0.1566432	0.1566208	5.0	5.0
Butler SM etal 2012_Soil warming alters nitrogen cycling in a New England forest: implications for ecosystem function and structure	plant_Norleaf_N		May.2003-Jun.2009	73	%	2.42754	2.42754	2.11236	0.1566432	0.1304576	5.0	5.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium myrtillus (bilberry)	spring.2007-Aug.2007 	3	mg/g	1.900 mg/g	1.9	1.855	0.128	0.161	10.0	10.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium myrtillus (bilberry)	spring.2007-Aug.2008	15	mg/g	1.946	1.946	1.949	0.17	0.17	10.0	10.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium myrtillus (bilberry)	spring.2007-Aug.2009	27	mg/g	1.862	1.862	1.942	0.202	0.14	10.0	10.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium gaultherioides (northern bilberry)	spring.2007-Aug.2007 	3	mg/g	2.272	2.272	2.152	0.256	0.256	10.0	10.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium gaultherioides (northern bilberry)	spring.2007-Aug.2008	15	mg/g	2.528	2.528	2.434	0.228	0.192	10.0	10.0
Dawes MA etal 2011_Growth and community responses of alpine dwarf shrubs to in situ CO2 enrichment and soil warming	plant_Norleaf_N	Vaccinium gaultherioides (northern bilberry)	spring.2007-Aug.2009	27	mg/g	2.27	2.27	2.237	0.256	0.242	10.0	10.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	plant_Norleaf_N	Calluna	Oct 2005 - Sep 2007	18	gN/m2	6.48 (gN/m2)	6.48	6.74	3.4286	4.04085	6.0	6.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	plant_Norleaf_N	Deschampsia	Oct 2005 - Sep 2007	18	gN/m2	2.9	2.9	2.99	1.98369	1.49389	6.0	6.0
Larsen KS etal 2011_Reduced N cycling in response to elevated CO2, warming, and drought in a Danish heathland Synthesizing results of the CLIMAITE project after two years of treatments	plant_Norleaf_N	Mosses	Oct 2005 - Sep 2007	18	gN/m2	2.39	2.39	0.93	2.00818	1.2245	6.0	6.0
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	plant_Norleaf_N		2006-2007	12	gN/m2	2.618(gN/m2)	2.618	2.503	0.415	0.273		
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	plant_Norleaf_N		2006-2008	24	gN/m2	2.805	2.805	2.728	0.249	0.451		
Ma L-N etal 2011_The effects of warming and nitrogen addition on soil nitrogen cycling in a temperate grassland, northeastern China	plant_Norleaf_N		2006-2009	36	gN/m2	3.007	3.007	2.829	0.5	0.273		
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	18.1 (mg/g)	18.1	21.9	1.8972	2.2134	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	17.5	17.5	20.7	1.581	3.162	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	17.6	17.6	19.5	1.581	2.2134	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	15.7	15.7	14.9	2	1	4.0	4.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	23.7	23.7	25.2	2.2134	1.2648	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	5.5	5.5	5.7	0.3162	0.6324	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	5.5	5.5	5.6	0.9486	0.9486	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	4.7	4.7	5.1	0.9486	0.9486	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	23.7	23.7	24.2	4.743	2.5296	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	9.3	9.3	9.4	1.8972	2.8458	10.0	10.0
Nybakken L etal 2011_Experimental warming had little effect on carbon-based secondary compounds, carbon and nitrogen in selected alpine plants and lichens	plant_Norleaf_N		1999-2007	96	mg/g	7	7.0	5.7	0.6324	1.2648	10.0	10.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	plant_Norleaf_N		oct. 2008-mar. 2009	5	kg/ha	98.097 (kg/ha)	98.097	49.827	11.001	8.807	8.0	8.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	plant_Norleaf_N		oct. 2008-jun. 2009	8	kg/ha	196.194	196.194	179.844	19.816	11.001	8.0	8.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	plant_Norleaf_N		oct. 2008-jul. 2009	9	kg/ha	198.53	198.53	212.54	13.212	22.019	8.0	8.0
Patil RH etal 2010_Effect of soil warming and rainfall patterns on soil N cycling in Northern Europe	plant_Norleaf_N		oct. 2008-aug. 2009	10	kg/ha	217.99	217.99	225.78	11.001	17.613	8.0	8.0
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	plant_Norleaf_N	0-5cm soil	Apr. 2007-Aug. 2007	4	%	 1.45(%)	1.45	1.39	0.072	0.041	5.0	5.0
Dijkstra FA etal 2010_Contrasting effects of elevated CO2 and warming on nitrogen cycling in a semiarid grassland	plant_Norleaf_N	0-5cm soil	Apr. 2007-Aug. 2008	16	%	1.62	1.62	1.36	0.115	0.097	5.0	5.0
Olsrud M etal 2010_Responses of fungal root colonization, plant cover and leaf nutrients to long-term exposure to elevated atmospheric CO2 and warming in a subarctic birch forest understory	plant_Norleaf_N	V Myrtillus	2000-2006	72	%	1.392 (%)	1.392	1.581	0.165	0.15	6.0	6.0
Olsrud M etal 2010_Responses of fungal root colonization, plant cover and leaf nutrients to long-term exposure to elevated atmospheric CO2 and warming in a subarctic birch forest understory	plant_Norleaf_N	V Vitis-idaea	2000-2006	72	%	0.946	0.946	1.017	0.132	0.19	6.0	6.0
Olsrud M etal 2010_Responses of fungal root colonization, plant cover and leaf nutrients to long-term exposure to elevated atmospheric CO2 and warming in a subarctic birch forest understory	plant_Norleaf_N	grass	2000-2006	72	%	0.831	0.831	0.741	0.147	0.123	6.0	6.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	plant_Norleaf_N	winter warming only(11.2006-4.2007)	Nov. 2006 - Fall 2007	5	g/m2	9.5 (g/m2)	9.5	8.3	6.324	3.4782	10.0	10.0
Turner M etal 2010_Net nitrogen mineralization and leaching in response to warming and nitrogen deposition in a temperate old field: the importance of winter temperature	plant_Norleaf_N	year-round warming	Nov. 2006 - Fall 2007	12	g/m2	8.3	8.3	8.3	6.9564	3.4782	10.0	10.0
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	plant_Norleaf_N	herb	Jun.1989-Jul.2002	37	g/m2	 0.287 (g/m2)	0.287	0.342	0.106	0.28	6.0	6.0
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	plant_Norleaf_N	evergreen	Jun.1989-Jul.2002	37	g/m2	0.049	0.049	0.078	0.046	0.111	6.0	6.0
Sorensen PL etal 2008_Nitrogen Uptake During One Year in Subarctic Plant Functional Groups and in Microbes After Long-Term Warming and Fertilization	plant_Norleaf_N	deciduous	Jun.1989-Jul.2002	37	g/m2	0.222	0.222	0.022	0.184	0.013	6.0	6.0
Sardans J etal 2008_Changes in soil enzymes related to C and N cycle and in soil C and N content under prolonged warming and drought in a Mediterranean shrubland	plant_Norleaf_N	Erica multiflora	Mar.1999-Jan.2005	70	%	0.501 (%)	0.501	0.584	0.045	0.09	3.0	3.0
Sardans J etal 2008_Changes in soil enzymes related to C and N cycle and in soil C and N content under prolonged warming and drought in a Mediterranean shrubland	plant_Norleaf_N	Dorycnium pentaphyllum	Mar.1999-Jan.2005	70	%	1.454	1.454	1.472	0.128	0.112	3.0	3.0
Rinnan R etal 2007_Mineralization and carbon turnover in subarctic heath soil as affected by warming and additional litter	plant_Norleaf_N	Carex capillaris	1999-2005	84	mg/g	7.1 (mg/g)	7.1	8.22	1.44491	1.05307	6.0	6.0
Klein JA etal 2007_Experimental warming, not grazing, decreases rangeland quality on the Tibetan Plateau	plant_Norleaf_N	sedge	sep.1997-2000	36	%	1.807 (%)	1.807	1.585	0.1	0.067	4.0	4.0
Klein JA etal 2007_Experimental warming, not grazing, decreases rangeland quality on the Tibetan Plateau	plant_Norleaf_N	forb	sep.1997-2000	36	%	2.122	2.122	2.128	0.111	0.111	4.0	4.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	plant_Norleaf_N	herbage (cut above 7 cm) clover	since Dec.1995	7	%	3.8 (%)	3.8	3.9	0.6	0.6	3.0	3.0
Lilley JM etal 2001_Nutritive value and the nitrogen dynamics of Trifolium subterraneum and Phalaris aquatica under warmer, high CO2 conditions	plant_Norleaf_N	herbage (cut above 7 cm) phalaris	since Dec.1995	7	%	2.6	2.6	2.5	1.1	0.7	3.0	3.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Aster ericodies	 Nov.1999- Jul.2000	8	g N/m2 in stem	0.503725 (g N/m2 in stem)	0.503725	0.560757	0.144211259	0.084865022	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Aster ericodies	 Nov.1999- Jul.2001	20	g N/m2 in stem	0.58814(g N/m2 in stem)	0.58814	0.52915	0.106060456	0.123091759	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Aster ericodies	 Nov.1999-Jul.2002	32	g N/m2 in stem	0.443979(g N/m2 in stem)	0.443979	0.461182	0.093313312	0.152769776	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Aster ericodies	 Nov.1999- Sep.2003	46	g N/m2 in stem	0.4747(g N/m2 in stem)	0.4747	0.512699	0.089100189	0.072179114	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Ambrosia pssilostachya	 Nov.1999- Jul.2000	8	g N/m2 in stem	0.622753 (g N/m2 in stem)	0.622753	0.623031	0.172272614	0.159221732	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Ambrosia pssilostachya	 Nov.1999- Jul.2001	20	g N/m2 in stem	0.681628(g N/m2 in stem)	0.681628	0.687175	0.180943807	0.202327853	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Ambrosia pssilostachya	 Nov.1999-Jul.2002	32	g N/m2 in stem	0.563021(g N/m2 in stem)	0.563021	0.564947	0.098974083	0.051691582	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N	Ambrosia pssilostachya	 Nov.1999- Sep.2003	46	g N/m2 in stem	0.56911(g N/m2 in stem)	0.56911	0.532489	0.12063737	0.090219606	6.0	6.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N		 Nov.1999- Jul.2000	8	g N/m2 in green tissues	1.92421 (g N/m2 in green tissues) 	1.92421	1.84	0.40841758	0.758465049	12.0	12.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N		 Nov.1999- Jul.2001	20	g N/m2 in green tissues	1.46105 (g N/m2 in green tissues) 	1.46105	1.28	0.291711997	0.247960394	12.0	12.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N		 Nov.1999-Jul.2002	32	g N/m2 in green tissues	1.94105 (g N/m2 in green tissues) 	1.94105	1.62526	0.525088523	0.452169184	12.0	12.0
An YA etal 2005_Plant nitrogen concentration, use efficiency, and contents in a tallgrass prairie ecosystem under experimental warming	plant_Norleaf_N		 Nov.1999- Sep.2003	46	g N/m2 in green tissues	1.82316 (g N/m2 in green tissues) 	1.82316	1.56211	0.904303727	0.816765879	12.0	12.0
Tolvanen A etal 2001_Responses of carbon and nitrogen concentrations in high arctic plants to experimental warming	plant_Norleaf_N	Cassiope tetragona(new tissues)	Jun.1992- Jun.1996	48	%	2.82222(%)	2.82222	3.15556			10.0	10.0
Tolvanen A etal 2001_Responses of carbon and nitrogen concentrations in high arctic plants to experimental warming	plant_Norleaf_N	Cassiope tetragona(new tissues)	Jun.1992- Jul.1996	49	%	1.52222	1.52222	1.5			10.0	10.0
